文秀,https://www.douban.com/people/164705253/,2017/8/2,5,2018/12/10,19:52:28,508,这是一部大格局的巨作，这是一卷接地气的生活篇章，它让我们的父母再回味那个时代，让我们更了解那个时代，让我们的后辈更珍惜当下，从而不辜负这个时代，每一位演员都能看出来是用了心的，你可以选择不看，或者不评价，但请你理智做个人，不想再看见有某人的粉丝黑子来这片净土上作妖作怪，吃相真的很难看，很恶心，言尽于此，总还是会有只懂人身攻击的不入流之辈，还好我们心里都有一杆秤，里面总有住着善良。,5,0
清新明艳高圆圆,https://www.douban.com/people/183880237/,2018/8/30,5,2018/12/10,20:03:41,463,诶，苦命的姐弟啊，希望生活对他们好一点。王凯和童瑶的演技真好，台词过硬。细节上做得很好，很有年代感。,5,2
微雨阑珊,https://www.douban.com/people/151304457/,2016/9/18,5,2018/12/10,19:59:42,415,一代人有一代人的际遇，一代人也有一代人的奋斗，看了前两集和预告片，所有演员对整体人物和细节的把控都非常到位，正午的制作也一贯的精良，剧情饱满，有笑有泪，好剧值得追下去！,5,2
Lori,https://www.douban.com/people/158793819/,2017/3/8,5,2018/12/10,19:45:28,434,孔笙死忠粉来了！镜头好美啊！这剧追定了！,5,0
Yvonone,https://www.douban.com/people/71428516/,2013/4/19,5,2018/12/10,20:05:42,406,我觉得这是部可以留下来的作品，因为它值得，因为王凯值得！！！,5,2
小满,https://www.douban.com/people/146932018/,2016/6/11,5,2018/12/10,19:45:29,404,宋运辉天资聪颖，却出身不好，受尽歧视，但是把握住了1978年恢复高考的机会，上大学、包分配、下基层，成为一名国企技术人员。变革的浪潮中，早熟刻苦的宋运辉醉心钻研技术改革，竭力远离一切权势纷争，一步步的晋升让他拥有了年少时丝毫不敢奢求的人生轨迹，同时也带给了他新的苦恼和迷茫。,5,2
呆头小鹅,https://www.douban.com/people/156623954/,2017/1/19,5,2018/12/10,19:45:09,418,不尽狂澜走沧海，一拳天与压潮头。志之所趋，不可阻挡。正午真的处女座剧组，各个细节都处理的太棒了，几乎完全还原了那个时代的社会风貌，值得细品。（半夜来加一句，黑演员的都原地爆炸！奤🐷🐔屎滚远点！）（12.24金州这两集太燃了吧！为大江疯狂打call！）,5,2
TRACYNK,https://www.douban.com/people/169128515/,2017/11/3,5,2018/12/10,19:57:13,396,看了第一集，宋运辉太让人心疼了，上学咋这么难呀，王凯演的真好，其他演员演的也好。镜头和bgm都好喜欢，节奏也好，正午真是必出精品。,5,2
肥鱼,https://www.douban.com/people/90685418/,2014/6/8,5,2018/12/10,19:49:08,387,吹爆王凯的演技我的天这真的是他吗太有感觉了看着他就像看到了我弟弟太像了太像了,5,1
peggie,https://www.douban.com/people/142817458/,2016/3/5,5,2018/12/10,19:46:15,370,前两集两姐弟的命运看得泪目，演员又是减肥又是涂黑粉还原那个年代，真的很敬业，会追下去,5,2
我们一起喵喵喵,https://www.douban.com/people/177969700/,2018/4/28,5,2018/12/10,19:46:08,386,王凯演出了一个十几岁少年应有的稚气，剧情很好，为宋家四口的命运感慨，吾辈应自强，我们都不应该辜负这个时代,5,2
且行且休,https://www.douban.com/people/thelandofnod/,2009/4/15,5,2018/12/10,20:10:50,347,近期难得的国产好剧，节奏挺快的，冲突也很强烈，开头几集挺吸引人的。另外要吹爆王凯，为了演这个戏减了好多，蛮符合那个年代的人物形象的，而且眼神清澈，满满的少年气，就是一个倔强少年的模样。看的过程中一直为宋家人的命运而揪心，值得追,5,2
风吹百里,https://www.douban.com/people/cheng158557/,2015/11/12,2,2018/12/10,20:02:50,222,王凯现在演18很违和，演技也很麻麻,2,2
蔚歌,https://www.douban.com/people/50917771/,2011/4/17,5,2018/12/10,19:53:20,336,之前看过书，现在电视剧开播了，超级期待的！正在看，整个剧的感觉特别对味，演员的表现也很好。虽然没经历过那个时代，但是因为了解了这段历史才更加珍惜当下的日子。,5,2
全麦泡芙,https://www.douban.com/people/150913528/,2016/9/8,5,2018/12/10,19:41:54,324,剧情流畅，演员演技都很自然，继续追剧,5,2
王朝,https://www.douban.com/people/177876316/,2018/4/26,5,2018/12/10,23:27:49,321,看大江大河觉得演员这个行业真神奇，宋运辉黑黢黢傻乎乎挑着扁担叫大学室友叔叔，你就真的相信他“年底就满十九了”。王凯的少年感不是挤眉嘟嘴款浮于形式的装嫩，是他清清朗朗，沉默着脆弱，倔强着自尊，羞涩着活泼，和世界不熟练地打交道的样子。,5,2
开心快乐每一天,https://www.douban.com/people/154292831/,2016/11/25,5,2018/12/11,19:09:34,276,看了第一集很有共鸣，那个时候唯成分论真的让我们这些出身不好的人上大学成为可望不可即的奢望。电视剧的表现和表演相当真实和接地气，看的我自己仿佛又回到那时候，高考的一切历历在目。有共鸣但不伤感，追逐努力过都是值得的。,5,2
小予,https://www.douban.com/people/135637220/,2015/10/6,5,2018/12/10,19:54:43,312,看见了冷静的真实历史，还有中国人骨子里的倔强执着。无论在哪个年代，无论何种环境，都能昂扬地寻找生活的出路和生命的光亮。看到19集，这剧亮点太多，最神的绝对是编剧👏2223集，三个男主选角太好；希望节奏继续保持，分数或许还能升。2526再夸编剧，踏实又有见地。47集最后再说两句，1.瑕不掩瑜2.王凯是个被低估的好演员。,5,2
tlxszbzsjnd,https://www.douban.com/people/gjj2017/,2016/11/29,5,2018/12/10,19:55:52,305,事实证明三十多的演员演十八九小年轻不一定非要靠打白粉加打光磨皮，黑也可以。,5,0
苗子,https://www.douban.com/people/172785697/,2018/1/19,5,2018/12/10,19:48:19,309,不尽狂澜走沧海，一拳天与压潮头，太期待这个磅礴大气的变革时代里，宋运辉这些先行者的壮阔人生了！,5,2
��,https://www.douban.com/people/50756062/,2011/4/10,5,2018/12/10,19:48:22,319,为了贴近人物，凯凯王减重14斤，非常期待了,5,2
jennings,https://www.douban.com/people/2667456/,2008/7/4,5,2018/12/10,20:34:14,304,我妈看的眼睛红了，她一定想到了当年因为我姥爷是臭老九她没能上成学，这可能就是她一直逼我上到研究生的原因吧……,5,2
致郁系,https://www.douban.com/people/chorist/,2008/9/29,5,2018/12/10,20:21:22,284,第一集，宋云辉站在革委会院子里背文件的时候，我的眼泪一下子就出来了。太难过了，完全不知道原来那时候，他们还有受这么一些我们现在根本无法理解的委屈。当时我就想着，要是我那时候珍惜自己读书的时光就好了，我们唾手可得的东西可能就是他们求之不得的珍宝。,5,0
